name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
new york,2022-01-01T00:00:00,10.4,10.4,8.4,87.35,0,0,,0,0,13,8.4,160,1012.7,100,12.3,0,0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york,2022-01-01T01:00:00,10.5,10.5,8.5,87.22,0,0,,0,0,13.3,3.7,84,1012.5,100,10.7,0,0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york,2022-01-01T02:00:00,10.5,10.5,8.8,89.05,0,0,,0,0,13.3,0,0,1012.6,100,9.8,0,0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york,2022-01-01T03:00:00,10.5,10.5,8.4,86.75,0,0,,0,0,13.7,8,127,1012.2,100,12.7,0,0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york,2022-01-01T04:00:00,10.1,10.1,8.9,92.12,0,0,,0,0,14.8,8.7,153,1011.2,100,10.8,0,0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC"
new york,2022-01-01T05:00:00,10,10,8.9,93.11,0,0,,0,0,16.6,2.1,57,1011,100,7.7,0,0,0,,Overcast,cloudy,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york,2022-01-01T06:00:00,10.4,10.4,9.2,92.25,0.048,100,rain,0,0,18,7.2,142,1010,100,4.7,0,0,0,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york,2022-01-01T07:00:00,10.5,10.5,9.5,92.95,0.14,100,rain,0,0,18,2.1,61,1010,100,7.7,0,0,0,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
new york,2022-01-01T08:00:00,10.1,10.1,9.2,94.12,0.849,100,rain,0,0,14.8,8.7,134,1009.6,100,3.8,9,0,0,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
new york,2022-01-01T09:00:00,11,11,9.8,92.82,0.843,100,rain,0,0,15.8,9.9,172,1009.7,100,9.8,21,0.1,0,,"Rain, Overcast",rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
